date,nav_eur,pre_exposure,post_exposure,target,event_target,trade,debt_usd
2006-01-03 00:00:00+00:00,99650.00000000001,0.0,1.7561465127947817,1.75,1.75,True,90269.30000000002
2006-01-04 00:00:00+00:00,100527.93483228644,1.7427822879452701,1.7427822879452701,1.75,,False,90283.94368644446
2006-01-05 00:00:00+00:00,101187.89411962249,1.7374451126249393,1.7374451126249393,1.75,,False,90298.28880194131
2006-01-06 00:00:00+00:00,103959.59501357876,1.7151207806820499,1.7151207806820499,1.75,,False,90312.68636243361
2006-01-09 00:00:00+00:00,105386.69945324268,1.7104616299687307,1.7104616299687307,1.75,,False,90327.03604482231
2006-01-10 00:00:00+00:00,105509.70025359794,1.709805570907098,1.709805570907098,1.75,,False,90341.46327974614
2006-01-11 00:00:00+00:00,106251.91662827633,1.7007769482516313,1.7007769482516313,1.75,,False,90355.86772416907
2006-01-12 00:00:00+00:00,106237.25789189879,1.70680994930049,1.70680994930049,1.75,,False,90370.27446530065
2006-01-13 00:00:00+00:00,105544.51562111008,1.7075654520638073,1.7075654520638073,1.75,,False,90384.78391492313
2006-01-17 00:00:00+00:00,104617.70864249986,1.7157228517598997,1.7157228517598997,1.75,,False,90399.3459078872
2006-01-18 00:00:00+00:00,102460.95000402366,1.7303017471180362,1.7303017471180362,1.75,,False,90413.96046880897
2006-01-19 00:00:00+00:00,103519.75221782598,1.7213356005637486,1.7213356005637486,1.75,,False,90428.37647250594
2006-01-20 00:00:00+00:00,98258.59089587169,1.760645080402413,1.760645080402413,1.75,,False,90442.76965576115
2006-01-23 00:00:00+00:00,96887.4569481768,1.7605340401107388,1.7605340401107388,1.75,,False,90457.19025292293
2006-01-24 00:00:00+00:00,97532.414863535,1.7549492181903772,1.7549492181903772,1.75,,False,90471.66340336339
2006-01-25 00:00:00+00:00,97053.57759627947,1.7609633857869456,1.7609633857869456,1.75,,False,90486.18913154316
2006-01-26 00:00:00+00:00,98427.57462813759,1.7518743290181105,1.7518743290181105,1.75,,False,90500.91827232957
2006-01-27 00:00:00+00:00,101561.71057983731,1.7347388198007325,1.7347388198007325,1.75,,False,90515.67494983674
2006-01-30 00:00:00+00:00,102212.77267546537,1.7325340475198672,1.7325340475198672,1.75,,False,90530.55974971739
2006-01-31 00:00:00+00:00,100844.03212921719,1.7385076520500453,1.7385076520500453,1.75,,False,90545.59788158693
2006-02-01 00:00:00+00:00,101847.50049588198,1.734161609979994,1.3935310261438791,1.3912893859178974,1.3912893859178974,True,48464.919049099466
2006-02-02 00:00:00+00:00,99350.73301938895,1.4032209236897806,1.4032209236897806,1.3912893859178974,,False,48472.95614817511
